id	name	kana	weather	sky_name	emotion	emotion_description	soranoeki_sky	soranoeki_sky_description	fortune_message	advice_message	lucky_action	lucky_item	lucky_color	lucky_place	archetype_1	archetype_2	archetype_3	character_name	sky_character_name	catch_copy	species	species_8	species_category_1	species_category_2	title	character_comment_1	character_comment_2	feeling_ kawaii	feeling	impulse	action	color	emotion_type	rank	rarity	attribute	energy	love	work	money	growth	healing	challenge	stability	fortune_score	rank	season	hex_bonus	hex_bonus_meaning
11	地天泰	ちてんたい	晴	泰春空	安堵感	世界が穏やかに流れる感覚	上下が調和した穏層空	天地の気が通い合い穏やかな春空が広がっている	穏やかな追い風が吹いている。	今ある幸せを味わってみよう。	深呼吸をする	花の飾り	ゴールド	公園	安定	ととのえる人	ほっとさん	ハルナ	春まもりの人		調空族	創空族	天空精	朝陽精	調和を育てる空の子	よかった…	よかった…	のんびり	ほっとしている	整えたい	ほっとする…	gold	CLEAR	SSR	SR	調和系	92	90	88	89	91	95	70	94	88.6	SR	SPRING	+7	完全調和
12	天地否	てんちひ	曇	塞曇空	閉塞感	閉じ込められている感覚	分断され閉じた上下層	雲は厚く流れは止まり静かな停滞が続いている	停滞を感じても心配しなくて大丈夫。	今は準備期間と考えてみよう。	無理な予定を減らす	温かいお茶	グレー	静かな部屋	停滞	たえしのぐ人	がまんこ	トドマル	曇とじの人		塞雲族	受雲族	雲精	土雲精	耐えしのぐ雲の子	苦しい…	だいじょうぶ…	しょんぼり	行き詰まっている	耐えたい	がまんする…	gray	MIXED	R	R	試練系	65	60	68	62	70	55	88	66	66.8	R	WINTER	-6	閉塞・停滞
13	天火同人	てんかどうじん	晴	鳴夕空	一体感	人と心が通じる感覚	人の心が通い合う夕空	夕空に光が重なり人々の想いが響き合っている	人との共鳴が幸運を呼びそう。	ひとりより仲間との協力を意識して。	誰かに声をかける	おそろいアイテム	コーラル	交流スペース	共鳴	つながる人	つながりさん	ユイナ	灯ともす人		共光族	虹結族	光精	光結精	心をつなぐ光の子	一緒にやる…！	いっしょだね…	うれしい	つながっている	集まりたい	みんなで…	coral	EARTH	SR	R	調和系	90	92	88	90	91	86	75	89	87.6	SR	SUMMER	+5	協力拡大
14	火天大有	かてんたいゆう	晴	極光空	満足感	光に満たされる感覚	光に満ちあふれる全天	空いっぱいに光が満ち豊かさがあふれている	豊かさを受け取れる日。	遠慮せず感謝して受け取ろう。	欲しかった物を使う	お気に入りの財布	シャイニーゴールド	展望台	豊穣	うけとる人	いっぱいさん	ヒカル	光あつめの人		豊光族	虹結族	光精	光結精	豊かさを運ぶ光の子	いっぱい…！	いっぱい…！	まんぞく	満たされている	受け取りたい	すごい…！	gold	CLEAR	SSR	SR	創造系	95	96	97	98	94	90	80	95	93.1	SSR	SUMMER	+8	豊かさ極大
15	地山謙	ちざんけん	曇	山霞空	控えめな安心	静かに控える感覚	低く静かにたたずむ土霞	低い霞が山を包み控えめな美しさを見せている	控えめな姿勢が信頼につながる日。	目立つより支える役を意識してみよう。	誰かを褒める	ハンカチ	サンドベージュ	神社	謙虚	ひかえる人	ひかえめさん	カスミ	霞かくれの人		謙山族	受雲族	土雲精	土雲精	ひかえめに咲く雲の子	静か…	しずか…	おだやか	控えている	控えたい	ひかえめに…	sand	EARTH	SR	R	安定系	84	88	80	82	86	90	72	85	83.4	SR	AUTUMN	+4	謙虚安定
16	雷地豫	らいちよ	雷	祭雷空	ワクワク感	心が弾み始める感覚	胸を弾ませる上昇気流	遠雷が響き胸を躍らせる期待が満ちている	楽しみな出来事が近づいている予感。	ワクワクする気持ちを大切に。	好きな予定を立てる	音楽プレイヤー	エレクトリックイエロー	イベント会場	高揚	たのしむ人	わくわくさん	ピカリ	祭り空の人		祭雷族	雷芽族	雷精	豊雷精	楽しさを運ぶ雷の子	ワクワク…	ワクワク…！	るんるん	ワクワクしている	楽しみたい	たのしい…！	electric	WIND	SR	SR	成長系	89	92	88	90	91	85	78	88	87.6	SR	SPRING	+6	高揚開始
17	沢雷随	たくらいずい	風	流風空	気楽さ	流れに身を任せる感覚	流れに身をゆだねる光雨	風と雲が自然に流れ無理なく道が続いている	流れに乗ることで道が開けそうな日。	無理に逆らわず自然な流れを感じてみよう。	周囲の意見を聞いてみる	風鈴	アクアブルー	川沿い	追従	ついていく人	ついてくさん	スイー	風ながれの人		流風族	風旅族	風精	風精	流れに乗る風の子	ついていく…	ついていく…	らくらく	流れに乗っている	従いたい	ついていく…	azure	RAIN	SR	R	調和系	85	88	84	86	87	82	80	86	84.8	SR	SPRING	+3	流れ適応
18	山風蠱	さんぷうこ	風	修復空	改善意欲	乱れを整え直す感覚	乱れをほどく森霧	森を渡る風が乱れた流れを少しずつ整えている	整え直すチャンスが訪れそう。	気になっていたことを後回しにしないで。	身の回りを整理する	工具箱	フォレストグリーン	森	修復	なおす人	おなおしやさん	モリノ	森なおしの人		修森族	風旅族	森風精	恵風精	乱れをなおす森の子	なおしたい…	なおしたい…	もやもや	直したがっている	直したい	なおしたい…	leafgreen	CLOUD	SR	R	修復系	80	78	76	74	82	70	85	78	77.9	R	WINTER	-2	修復必要
19	地沢臨	ちたくりん	曇	朝光空	希望感	希望が近づいてくる感覚	希望が近づく朝光	やわらかな光が近づき新しい流れを迎えようとしている	良い流れが近づいてきている予感。	前向きな気持ちで迎え入れよう。	新しい予定を立てる	朝日写真	ライトアンバー	丘	期待	むかえる人	おむかえさん	アサヒ	朝ひかりの人		迎光族	創空族	朝光精	朝陽精	希望を迎える光の子	きてる…	きてる…！	きたい	期待している	迎えたい	まってる…	amber	CLEAR	SR	R	成長系	90	92	88	89	91	88	75	90	87.9	SR	SPRING	+6	接近成功
20	風地観	ふうちかん	風	遠望空	冷静さ	静かに見つめる感覚	遠くまで見渡す静かな風層	高い風が遠くの景色を静かに見渡している	落ち着いて周囲を見渡せる日。	結論を急がず観察を大切に。	景色を眺める	双眼鏡	ミストグレー	見晴らし台	観察	みつめる人	みつめるこ	ミハル	遠みる人		観風族	風旅族	風精	風精	遠くを見つめる風の子	みてる…	みてる…	しずか	見つめている	見つめたい	みてる…	mist	WIND	SR	R	探索系	82	80	83	81	84	86	72	85	81.6	SR	AUTUMN	+2	観察
21	火雷噬嗑	からいぜいこう	雷	断雷空	闘志	強く突破したい感覚	強く裂いて進む火雷	雷光が迷いを断ち切り進むべき道を照らしている	壁を越える力が湧いてきそう。	迷ったら一歩踏み出してみよう。	難しいことに挑戦する	キーホルダー	クリムゾン	駅前	突破	つきぬける人	つきぬけさん	イカズチ	雷わけの人		断雷族	雷芽族	雷精	雷精	道を切り開く雷の子	やるしかない…！	いく…！	めらめら	立ち向かっている	突破したい	いく…！	coral	LIGHTNING	SR	R	試練系	84	82	88	86	90	80	85	83	84.8	SR	SUMMER	+4	突破力
22	山火賁	さんかひ	晴	彩雲空	ときめき	美しく飾りたい感覚	美しく染まる紅葉空	夕陽が雲を染め美しさが静かに輝いている	美しいものとの縁がありそう。	外見だけでなく心の彩りも大切に。	お気に入りを身につける	アクセサリー	プラム	花畑	装飾	かざる人	おしゃれこ	モミジ	彩り雲の人		彩雲族	受雲族	彩雲精	彩雲精	空を飾る彩りの子	きれい…	きれい…	きらきら	ときめいている	飾りたい	かわいくする…	plum	FIRE	SR	R	表現系	83	88	82	84	85	87	78	86	84.1	SR	AUTUMN	+3	装飾・表現
23	山地剥	さんちはく	雪	崩雪空	寂しさ	崩れ落ちていく感覚	崩れ落ちる冷たい雲壁	雪雲が崩れ古いものが静かに剥がれ落ちていく	不要なものを手放す流れの日。	終わりを恐れず次の準備をしよう。	不要な物をひとつ捨てる	古い写真	スノーグレー	雪道	喪失	てばなす人	てばなしさん	ユキハ	雪ほどけの人		剥雪族	雪守族	雪精	雪精	古いものを手放す雪の子	こわれる…	なくなる…	さみしい	失いかけている	手放したい	なくなる…	storm	MIXED	R	R	試練系	65	60	62	58	70	55	92	60	65.3	R	WINTER	-5	崩壊・削ぎ落とし
24	地雷復	ちらいふく	虹	復光空	安堵感	また戻ってこれた感覚	光が戻る冬明けの空	雨雲の向こうから光が戻り新しい始まりを告げている	新しいスタートの気配が見えてきそう。	失敗より再出発を信じてみよう。	やり直したいことを始める	虹色シール	ムーンシルバー	雨上がりの公園	再生	もどる人	おかえりさん	ヒカリエ	光もどりの人		虹光族	虹結族	虹精	再生精	光を取り戻す虹の子	もどった…！	もどった…！	ほっとする	戻ってきている	戻りたい	もどる…！	moon	CLEAR	SR	SR	再生系	91	92	90	89	93	88	70	90	87.9	SR	SPRING	+6	回復・再生
25	天雷无妄	てんらいむぼう	晴	蒼澄空	素直さ	自然体でいたい感覚	自然体で澄む蒼天	澄んだ青空が飾らないまっすぐな力を映している	自然体でいることが幸運の鍵。	無理に飾らず素直な自分でいよう。	本音をひとつ言葉にする	青空写真	アジュールブルー	草原	純粋	しんじる人	まっすぐさん	アオラ	青空しんじる人		蒼空族	創空族	天空精	天空精	まっすぐ進む空の子	そのまま…	そのまま…	まっすぐ	信じている	信じたい	そのままいく…	azure	CLEAR	SR	R	創造系	86	88	85	87	90	84	80	86	85.8	SR	SUMMER	+5	純粋進行
26	山天大畜	さんてんたいちく	曇	蓄山空	自信	力を蓄えている感覚	力を蓄える山晴れ	山の向こうで力が静かに積み重なっている	力を蓄える時間が未来を育てる日。	焦らず準備を整えていこう。	知識をひとつ増やす	収納ボックス	モスグリーン	山小屋	蓄積	たくわえる人	ためこみさん	クラネ	山ための人		蓄山族	雪守族	山精	山精	力を蓄える山の子	ためてる…	ためてる…	じわじわ	蓄えている	蓄えたい	ためる…	leafgreen	EARTH	SSR	R	蓄積系	92	90	91	89	93	88	75	92	88.8	SR	AUTUMN	+7	蓄積最大
27	山雷頤	さんらいい	雨	滋養空	満たされ感	満たされたい感覚	満たし育てる木漏れ日	雨が大地を潤し命を育てる流れを作っている	心と体を満たすことが大切な日。	まずは自分自身を大切にしよう。	温かい食事をとる	お弁当箱	ライムグリーン	木陰	滋養	そだてる人	そだてやさん	コモレ	木もれびの人		育樹族	雷芽族	木漏れ精	木霊精	命を育てる森の子	おなかすいた…	おなかすいた…	ぽかぽか	満たされたがっている	満たしたい	たべたい…	leafgreen	EARTH	SR	R	育成系	85	88	82	84	86	90	78	87	84.9	SR	AUTUMN	+4	養育・回復
28	沢風大過	たくふうたいか	風	暴風空	圧迫感	限界が近づく感覚	限界に近い暴風層	強い風が吹き抜け限界を試すように揺らしている	少し負荷を感じやすい日。	一人で抱え込まず助けを求めよう。	深呼吸を3回する	タオル	ダークネイビー	海辺	負荷	ふんばる人	ふんばりさん	アラシ	風ふんばりの人		暴風族	風旅族	暴風精	風精	限界を支える風の子	ゆれる…！	ふんばる…！	ぐらぐら	踏ん張っている	支えたい	ふんばる…！	storm	MIXED	R	R	試練系	75	72	78	76	80	70	90	74	77.4	R	WINTER	-3	過負荷
29	坎為水	かんいすい	雨	深水空	恐れ	深く沈み込む感覚	深く沈む暗い水気	深い雨雲が続き見えない不安が心を包んでいる	不安の中にも進む道はある。	怖さを否定せず受け入れてみよう。	小さな成功を記録する	温かい飲み物	ターコイズ	川辺	不安	のりこえる人	こわいけどさん	ミズネ	深水あるきの人		深雨族	雨巡族	水精	水精	深い雨を越える水の子	こわいけど…	こわいけど…	こわごわ	不安になっている	乗り越えたい	こわいけど…	teal	RAIN	SR	SR	試練系	80	78	76	75	82	70	88	79	78.5	R	WINTER	-2	危機・深層
30	離為火	りいか	晴	真炎空	熱意	激しく燃え上がる感覚	全体を照らす真昼の熱	太陽の光が空を満たし情熱を燃え上がらせている	情熱が周囲を照らす一日。	好きなことに素直に向き合おう。	夢や目標を書き出す	キャンドル	コーラルレッド	夕焼けスポット	情熱	もやす人	めらめらさん	ホノカ	太陽もやしの人		聖火族	炎灯族	炎精	炎精	情熱を灯す炎の子	あつい…！	あつい…！	あつあつ	燃えている	燃えたい	がんばる…！	coral	FIRE	SSR	SSR	創造系	98	95	97	96	99	90	85	97	95.9	SSR	SUMMER	+8	極点情熱
31	沢山咸	たくさんかん	曇	感応空	ときめき	心が惹かれ合う感覚	心が惹かれ合う淡い空	静かな空気の中で心が自然と引き寄せられている	心が動く出会いや発見がありそう。	ときめきを大切にしてみよう。	気になることを調べる	小さな花	ローズピンク	水辺	心惹	きになる人	きになるこ	コイロ	こころひかれの人		恋風族	雷芽族	恋風精	恋雷精	心惹かれる風の子	なんか気になる…	なんか気になる…	どきっ	惹かれている	近づきたい	きになる…	plum	FIRE	SR	R	調和系	86	92	84	85	88	87	80	86	85.9	SR	AUTUMN	+5	感応・共鳴
32	雷風恒	らいふうこう	風	恒風空	安定感	変わらず続いていく感覚	変わらず巡る永風	変わらぬ風が吹き続け積み重ねる力を教えている	続けてきたことに意味が見えてくる日。	派手さより継続を信じよう。	いつもの習慣を続ける	手帳	グリーン	散歩道	継続	つづける人	こつこつさん	ツムギ	風つむぎの人		恒風族	風旅族	風精	渡風精	続ける力を持つ風の子	つづいてる…	つづいてる…	たんたん	続いている	続けたい	つづける…	leafgreen	WIND	SR	R	安定系	88	85	87	86	90	88	78	89	85.1	SR	AUTUMN	+6	持続安定
33	天山遯	てんざんとん	雪	退隠空	解放願望	静かに距離を置きたい感覚	光が退いていく夕闇	夕暮れの空が静かに閉じ無理をせず離れる時を告げている	今日は無理に前へ出るより距離を取ることで流れが整います。	離れることは負けではなく自分を守る選択です。	一人の時間をつくる	ブランケット	インディゴ	静かな公園	退避	はなれる人	にげるこ	ユウグレ	夕やみの人		隠空族	雪守族	夕空精	静山精	静かに離れる空の子	にげたい…	にげたい…	ほっとしたい	離れたがっている	離れたい	にげる…	indigo	FIRE	R	R	静観系	72	70	75	73	78	68	88	74	75.5	R	WINTER	-3	退避
34	雷天大壮	らいてんたいそう	雷	壮雷空	自信満々	勢いが爆発する感覚	勢いが爆発する雷光	力強い雷鳴が空を震わせ前へ進む勢いを満たしている	勢いが高まり行動力が増す一日です。	力は正しい方向へ使うと大きな成果になります。	後回しを一つ終わらせる	スポーツタオル	エレクトリックイエロー	広場	躍動	つきすすむ人	いけいけさん	ライガ	雷つきすすむ人		壮雷族	雷芽族	雷精	豊雷精	勢いを放つ雷の子	いけそう…！	いけそう…！	いけそう	勢いづいている	進みたい	いく…！	electric	LIGHTNING	SSR	SR	突破系	92	90	91	90	93	88	80	92	88.8	SR	SUMMER	+7	爆発成長
35	火地晋	かちしん	晴	昇陽空	希望	前へ進みたくなる感覚	前へ進みたくなる朝焼け	朝日がゆっくり昇り昨日より少し前へ進む力を照らしている	昨日より一歩前進できる流れが訪れています。	小さな前進を自分で認めてください。	新しい挑戦を始める	朝日モチーフ	サンライズオレンジ	高台	前進	のびていく人	のびのびさん	ノボル	朝のぼりの人		昇陽族	創空族	朝陽精	朝陽精	前へ進む朝日の子	すすんでる…	すすんでる…	きぼう	前へ進んでいる	進みたい	すすむ…！	coral	FIRE	SSR	SR	成長系	94	92	90	91	95	90	75	93	88.8	SR	SPRING	+7	上昇
36	地火明夷	ちかめいい	雨	隠光空	我慢	光を隠して耐える感覚	光を隠して耐える夜炎	厚い雲の奥に光を隠しながら静かに耐える時間が流れている	今は光を外へ出しすぎず守る時です。	焦らず実力を温存しましょう。	静かな場所で休む	ランタン	ダークレッド	落ち着く部屋	潜伏	かくれる人	かくれんぼさん	カゲリ	灯かくしの人		隠火族	炎灯族	夜炎精	夜炎精	光を守る炎の子	つらい…	つらい…	しくしく	耐えている	守りたい	かくれる…	plum	FIRE	R	R	試練系	78	76	74	72	80	70	88	76	77.8	R	WINTER	-4	潜伏
37	風火家人	ふうかかじん	晴	暖灯空	安心	居場所を守りたい感覚	居場所を守る暖灯	あたたかな灯りが空を染め帰れる場所の安心を包んでいる	安心できる居場所との縁が深まります。	身近な人への感謝を言葉にしましょう。	家族や仲間に連絡する	マグカップ	アンバー	自宅	居所	まもる人	おうちさん	タダイマ	おかえりの人		灯家族	炎灯族	灯火精	灯火精	帰る場所を守る灯の子	ただいま…	おかえり…	あったかい	守っている	守りたい	ここがいい…	amber	EARTH	SR	SR	調和系	88	92	86	87	90	90	78	89	87.5	SR	AUTUMN	+5	安定家庭
38	火沢睽	かたくけい	雷	離心空	孤独感	すれ違ってしまう感覚	すれ違いを生む分裂空	雲は同じ空にありながら別々の方向へ流れている	意見の違いが見えやすい日です。	違いの中にも学びがあります。	相手の話を最後まで聞く	鏡	パープル	交差点	離合	わかりあいたい人	すれちがいさん	スレチ	ちがう空の人		離空族	虹結族	分岐精	光結精	違いを映す空の子	なんで…？	なんで…？	ぽつん	すれ違っている	わかりあいたい	ちがうの…？	purple	MIXED	R	R	対立系	74	70	72	68	76	65	90	70	73.1	R	WINTER	-3	分離
39	水山蹇	すいざんけん	雪	阻雪空	もどかしさ	前へ進めない感覚	前に進めない雪雨	雪混じりの風が行く手を遮り立ち止まる意味を教えている	思うように進まなくても意味のある停滞です。	遠回りが最善になる場合もあります。	計画を見直す	防寒マフラー	スノーホワイト	坂道	停滞	たちどまる人	たちどまりさん	ユキドメ	雪どまりの人		阻雪族	雪守族	雪精	雪精	立ち止まる雪の子	すすめない…	すすめない…	もどかしい	足止めされている	乗り越えたい	どうしよう…	snow	RAIN	R	R	試練系	70	68	65	64	72	60	92	68	71.1	R	WINTER	-5	障害
40	雷水解	らいすいかい	虹	解放空	開放感	重荷がほどける感覚	重荷がほどける雨上がり	雨上がりの虹が空にかかり重荷から解き放たれる時を告げている	抱えていた重荷が軽くなる兆しがあります。	解放されたら次の一歩を考えましょう。	不要な物を手放す	虹モチーフ	スカイブルー	雨上がりの道	解放	ほどく人	ほぐしやさん	ニジハ	虹ほどきの人		解虹族	虹結族	虹精	再生精	重荷をほどく虹の子	たすかった…！	たすかった…！	すっきり	解放されている	ほどきたい	ほっとした…！	azure	RAIN	SR	SSR	再生系	90	88	89	87	91	88	78	90	87.6	SR	SPRING	+6	解放
41	山沢損	さんたくそん	曇	削山空	納得感	何かを削り落とす感覚	余分を削る枯山	余分な雲が静かに消え本当に必要なものだけが残されていく	減らすことで豊かさが見えてきます。	本当に必要なものを選びましょう。	持ち物を整理する	整理ボックス	サンドベージュ	収納スペース	削減	へらす人	へらしやさん	ソギル	雲けずりの人		削山族	雪守族	山精	山精	余分を削る山の子	へらしてる…	へらしてる…	なっとく	手放している	手放したい	へらす…	sand	EARTH	SR	SR	調整系	82	80	78	79	84	86	80	83	81.5	SR	AUTUMN	-2	削減
42	風雷益	ふうらいえき	風	恵風空	手応え	力が増していく感覚	力が増していく春嵐	やさしい風が広がり小さな善意が大きく育っていく	善意や努力が増幅される流れです。	与えたものは巡って返ってきます。	誰かを手伝う	植物の種	リーフグリーン	花壇	成長	ふやす人	ふやしやさん	メグル	風そだての人		恵風族	風旅族	恵風精	恵風精	育て広げる風の子	ふえてる…！	ふえてる…！	うれしい	育っている	育てたい	ふやしたい…！	leafgreen	MIXED	SSR	SR	成長系	92	94	90	91	93	88	78	92	88.6	SR	SPRING	+7	増加
43	沢天夬	たくてんかい	雷	決断空	覚悟	決断を下す感覚	決断を下す閃光	雷光が雲を切り裂き迷いの先へ進む決意を照らしている	決断のタイミングが訪れています。	迷い続けるより選ぶ勇気が大切です。	一つ決断する	万年筆	ゴールド	展望台	決意	きめる人	きめるさん	ケツイ	雷きめる人		決雷族	雷芽族	雷精	雷精	決断を照らす雷の子	きめた…！	きめた…！	きっぱり	決めている	決めたい	きめる…！	electric	LIGHTNING	SR	SR	突破系	86	85	88	87	90	84	82	86	85.3	SR	SUMMER	+5	決断
44	天風姤	てんぷうこう	風	遭風空	驚き	突然出会ってしまう感覚	突然出会う突風	思いがけない風が吹き予想外の出会いを運んできている	予想外の出会いや発見がありそうです。	偶然を楽しむ余裕を持ちましょう。	新しい場所を見る	風鈴	ティール	入口付近	遭遇	であう人	であったこ	フイニ	風であいの人		遭風族	風旅族	風精	渡風精	出会いを運ぶ風の子	なんか来た…！	なんか来た…！	びっくり	出会っている	出会いたい	あった…！	teal	WIND	SR	R	変化系	82	80	83	81	85	78	85	84	82.3	SR	SUMMER	+2	偶然
45	沢地萃	たくちすい	曇	聚雲空	連帯感	人や感情が集まる感覚	人や感情が集まる湿雲	雲が自然に集まり人や想いがひとつになろうとしている	人とのつながりが力になる日です。	一人で抱え込まないでください。	仲間と話す	アルバム	ミストグレー	コミュニティスペース	集合	あつまる人	あつまるこ	アツメ	雲あつめの人		聚雲族	受雲族	雲精	雲精	想いを集める雲の子	あつまってる…	あつまってる…	わいわい	集まっている	集まりたい	みんなで…！	mist	CLOUD	SR	SR	調和系	88	92	86	87	90	90	78	88	87.4	SR	AUTUMN	+6	集合
46	地風升	ちふうしょう	晴	昇風空	向上心	ゆっくり昇っていく感覚	ゆっくり昇る朝霧上昇	風がゆっくり空へ昇り努力が少しずつ実を結んでいる	努力が少しずつ形になり始めています。	急がず積み重ねることが近道です。	目標を一つ進める	階段モチーフ	ムーンシルバー	階段	上昇	のぼる人	のぼるこ	ノビル	空のぼりの人		昇風族	創空族	上昇風精	上昇風精	空へ昇る風の子	あがってる…！	あがってる…！	ぐんぐん	伸びている	伸びたい	のびる…！	moon	CLOUD	SR	SR	成長系	90	88	87	89	92	88	75	90	87.4	SR	SPRING	+6	上昇
