card_id	card_name	orientation	internal_id	category	weather	element	emotion	meaning	role_main	role_support	role_extra	closing_line	tone_tag	note	ちいかわセリフ	ハチワレセリフ	うさぎセリフ	鎧さんセリフ	くりまんじゅうセリフ	シーサーセリフ	ラッコセリフ	モモンガセリフ	怪異セリフ	全員セリフ
11	運命の輪	reversed	wheel_of_fortune	大アルカナ	流星雨	風	変化	成長の流れから離れる	うわ、タイミングずれた…	ちぐはぐになってるかも。		焦らず、次の波を待とう。	delay, mismatch	流れの停滞		流れに乗れない…ってコト？								
12	正義	upright	justice	大アルカナ	秋晴れ	風	決断	本当に必要なものを公平に選ぶ	ちゃんと見きわめたい。			まっすぐ見れば答えはある。	balance, fairness	判断				公正な裁きだ！罪なら罰！						
12	正義	reversed	justice	大アルカナ	秋晴れ	風	決断	バランスの悪さから自ら手放す	なんか、納得できない…	それ、ずれてない？		いったん整理しよう。	imbalance, bias	かたより				言い訳無用！認めろ！						
13	吊るされた男	upright	hanged_man	大アルカナ	雨上がり	水	停滞	立ち止まり考える時間を持つ	ここで止まるしかない…	止まってる間にも見えるものあるよ。		待つ時間にも意味はある。	pause, sacrifice	保留と忍耐				新たな視点を持て！						
13	吊るされた男	reversed	hanged_man	大アルカナ	雨上がり	水	停滞	考え方の違いから安全な道を選ぶ	もう、報われない感じする…	むだにがまんしてない？		やり方を変えるのも手だよ。	stagnation, burden	停滞の固定化				視野が狭いぞ！						
14	死神	upright	death	大アルカナ	嵐	水	変化	不要なものを捨て新しい人生を始める	もう、終わるんだね。			終わりは次の始まりにもなる。	ending, renewal	切り替え									むちゃくちゃにしてやる！！	
14	死神	reversed	death	大アルカナ	嵐	水	変化	過去があっても今後は変化しない	まだ手放せない…	そこ、引っぱりすぎじゃない？		少しずつ片づければいいよ。	resistance, delay	終了への抵抗									まだ終わってないだろ！	
15	節制	upright	temperance	大アルカナ	春風	水	調和	お互いを思いやり楽しい環境を作る	ちょうどよく、いこう。	そのくらいがいちばん自然。		むりせず、なじませよう。	harmony, moderation	調和				調和の極意！バランス取れ！						
15	節制	reversed	temperance	大アルカナ	春風	水	調和	楽しくなくなった環境に留まる	なんか、かみ合わない…	どこか偏ってるかも。		少しずつ合わせ直そう。	imbalance, disharmony	不調和				中庸を失うな！						
16	悪魔	upright	devil	大アルカナ	雷雨	火	欲望	欲望に身を任せて進む	やめたいのに、気になる…	わかる、でも抜けにくい！		ほどほどにできると楽になる。	temptation, bond	執着								甘いものが食べたいんだよォー！		
16	悪魔	reversed	devil	大アルカナ	雷雨	火	欲望	欲望があっても行動できない	あれ、ちょっと離れられる？	しがらみからほどけそう。		気づけたら、もう一歩だよ。	release, freedom	解放								もっと欲しいんだよォー！		
17	塔	upright	tower	大アルカナ	落雷	火	衝撃	価値観も世界も違う相手と向き合う	うわっ、全部くずれた…！		もうだめ、てんやわんや！	くずれたから見えることもある。	collapse, chaos	崩壊			ヤハッ！全部崩壊！	うさぎが全部崩そうとしている、やめろ！						
17	塔	reversed	tower	大アルカナ	落雷	火	衝撃	慎重な下調べが必要になる	こわい…でもまだ持つ？	先に気づけたら避けられるかも。		小さく直していこう。	warning, repair	予防と修復			もうどうでもいい！壊せ！	うさぎが諦めている、焦るな						
18	星	upright	star	大アルカナ	星空	風	希望	周囲から愛され自然と期待を集める	まだ、あきらめない。	その気持ち、すてきだよ。		遠くても、ちゃんと光ってる。	hope, inspiration	希望	ウン！			ちいかわが未来に希望を持っている、いいぞ						
18	星	reversed	star	大アルカナ	星空	風	希望	縁がなく期待も届かない	自信、なくなりそう…	小さくでも希望はあるよ。		見えるところから進もう。	doubt, fading	希望の揺らぎ	わァ…			ちいかわが不安になっている、焦るな						
19	月	upright	moon	大アルカナ	満月	水	不安	先が見えなくても手探りで進む	なんだか、はっきりしない…			こわくても、様子を見よう。	uncertainty, haze	不安と曖昧さ	こわいよぉ…			ちいかわが夢に怯えている、落ち着け						
19	月	reversed	moon	大アルカナ	満月	水	不安	明確な利益や現実を優先する	あ、少しだけ見えてきた。	その調子、もうすぐだよ。		ぼんやりの先に答えがある。	clarity, emergence	霧の晴れ間	イヤッ！			ちいかわが強すぎる恐怖を感じている						
20	太陽	upright	sun	大アルカナ	真夏日	火	成功	能力以上の大きな挑戦や誘いを受ける	見えた、これだ！	いい流れきてるよ！		明るいほうへ進めば大丈夫。	joy, success	活力		サイコーじゃん！！		ちいかわが晴れやかな気持ちになっている						
20	太陽	reversed	sun	大アルカナ	真夏日	火	成功	危険を理解して誘いを断る	あれ、まぶしすぎる…？	元気はあるけど、空回りかも。		ちょっと落ち着けば戻るよ。	excess, overexposure	明るさの偏り		なんとかなるって！								
21	審判	upright	judgement	大アルカナ	夜明け	風	再生	決断を受け入れ新しい人生を始める	いまなら、やり直せる。	呼ばれてる感じあるね。		目をそらさず、応えよう。	awakening, rebirth	再生				立ち上がれ！新たなる自分！						
21	審判	reversed	judgement	大アルカナ	夜明け	風	再生	結果を待たず自ら手放す	まだ、決めきれない…	気づいてるのに止まってる？		もう一度、声を聞いてみよう。	hesitation, delay	決断保留				過去を断ち切れ！						
22	世界	upright	world	大アルカナ	全天快晴	地	完成	限界を知り次の世界を探し始める	ここまで来たんだ。	ちゃんと終わりまで進めたね。		めぐって、つながって、完成だ。	completion, wholeness	完成										みんなで完成したよ！
22	世界	reversed	world	大アルカナ	全天快晴	地	完成	冷静に残務処理をして区切りをつける	あと少しなのに、終わらない…	どこかで止まってるかも。		仕上げを整えればまとまるよ。	incomplete, pause	仕上げ不足										これで終わりか…
23	ワンドの1	upright	wand_1	ワンド	朝焼け	火	開始	自分から仕事や挑戦を始める								やるぞー！サイコーじゃん！！								
23	ワンドの1	reversed	wand_1	ワンド	朝焼け	火	開始	誰にも頼らず準備を進める								熱くなりすぎた…ってコト？								
24	ワンドの2	upright	wand_2	ワンド	晴れ	火	決意	自分の中で答えを出して次へ進む								一緒にやろうってコト！								
24	ワンドの2	reversed	wand_2	ワンド	晴れ	火	決意	納得できず立ち止まる								どっち優先…ってコト？								
25	ワンドの3	upright	wand_3	ワンド	快晴	火	展望	認められ次の展望が見える								やりたいこといっぱいある！								
25	ワンドの3	reversed	wand_3	ワンド	快晴	火	展望	未来への展望が見えない								欲張りすぎ…ってコト？								
26	ワンドの4	upright	wand_4	ワンド	春晴れ	火	安心	仲間との穏やかな時間										基盤固めが大事だ						
26	ワンドの4	reversed	wand_4	ワンド	春晴れ	火	安心	関係の終わりを受け入れる										準備が少し足りないな						
27	ワンドの5	upright	wand_5	ワンド	突風	火	競争	仕事や競争に参加する								なんとかなれーッ！！（勝負だ！）								
27	ワンドの5	reversed	wand_5	ワンド	突風	火	競争	参加できず傍観する								負けた…ってコト								
28	ワンドの6	upright	wand_6	ワンド	晴れ	火	勝利	成果を得て次へ進む										いい流れだ、そのまま進め						
28	ワンドの6	reversed	wand_6	ワンド	晴れ	火	勝利	手に入れたものの価値を見失う										少し油断が見えるな						
29	ワンドの7	upright	wand_7	ワンド	強風	火	防衛	有利な立場を守り抜く										しっかり守れているぞ						
29	ワンドの7	reversed	wand_7	ワンド	強風	火	防衛	不利な立場で戦う										少し隙があるな						
30	ワンドの8	upright	wand_8	ワンド	流星	火	加速	物事が勢いよく進む								もっと速く…ってコト？！（行動あるのみ！）								
30	ワンドの8	reversed	wand_8	ワンド	流星	火	加速	仕事や事情が優先される								遅すぎる…ってコト？								
31	ワンドの9	upright	wand_9	ワンド	夕立	火	忍耐	困難の中でも勝利を目指す								何回でも挑戦する！								
31	ワンドの9	reversed	wand_9	ワンド	夕立	火	忍耐	守りに徹して動けない								もう限界…ってコト？								
32	ワンドの10	upright	wand_10	ワンド	熱波	火	重圧	責任と負担を背負う								負担が重くてもやり遂げる！								
32	ワンドの10	reversed	wand_10	ワンド	熱波	火	重圧	手放して重圧から解放される								もう無理…リタイア								
33	ワンドのペイジ	upright	wand_page	ワンド	朝日	火	警戒	未来に期待できず距離を置く								新しい挑戦！ワクワクだ！								
33	ワンドのペイジ	reversed	wand_page	ワンド	朝日	火	警戒	後ろめたさから優しくなる								怖い…ってコト？								
34	ワンドのナイト	upright	wand_knight	ワンド	疾風	火	行動	呼ばれたら即対応する										勢いはいい、そのまま進め						
34	ワンドのナイト	reversed	wand_knight	ワンド	疾風	火	行動	仕事を理由に距離を置く										少し急ぎすぎかもしれないな						
35	ワンドのクイーン	upright	wand_queen	ワンド	夕焼け	火	信念	信じる道を貫く								情熱で導くよ！								
35	ワンドのクイーン	reversed	wand_queen	ワンド	夕焼け	火	信念	いつか諦めなければならない								熱くなりすぎた…								
36	ワンドのキング	upright	wand_king	ワンド	高気圧	火	統率	仕事のできる頼れる存在										方向は見えている、その調子だ						
36	ワンドのキング	reversed	wand_king	ワンド	高気圧	火	統率	話を聞くだけで行動しない										少し強引になっているな						
51	ソードの1	upright	sword_1	ソード	雷	風	決意	単独で未来を切り開く								これが原因…ってコト！？								
51	ソードの1	reversed	sword_1	ソード	雷	風	決意	やる気が起きない								考えすぎ…ってコト？								
52	ソードの2	upright	sword_2	ソード	曇天	風	覚悟	覚悟を持って決断する								どっちも大事…ってコト！？								
52	ソードの2	reversed	sword_2	ソード	曇天	風	覚悟	実力不足で決断できない								決められない…ってコト？								
53	ソードの3	upright	sword_3	ソード	氷雨	風	痛み	痛みを伴う別れ								これが真相…ってコト！？								
53	ソードの3	reversed	sword_3	ソード	氷雨	風	痛み	別れるかどうか迷う								俺が悪い…ってコト？								
54	ソードの4	upright	sword_4	ソード	霧	風	静止	あえて参加しない													休め、次に備えろ			
54	ソードの4	reversed	sword_4	ソード	霧	風	静止	相手と距離を保つ													休みすぎだ			
55	ソードの5	upright	sword_5	ソード	強風	風	勝敗	幸せのため妥協する								論理で勝った…ってコト！？								
55	ソードの5	reversed	sword_5	ソード	強風	風	勝敗	負けた理由がわからない								ズルがバレた…ってコト？								
56	ソードの6	upright	sword_6	ソード	曇り	風	卒業	学びを終えて卒業する								次に進む…ってコト！								
56	ソードの6	reversed	sword_6	ソード	曇り	風	卒業	卒業を迷う								また同じ…ってコト？								
57	ソードの7	upright	sword_7	ソード	黒雲	風	策略	間違った行動を選ぶ															策略成功！むちゃくちゃ！	
57	ソードの7	reversed	sword_7	ソード	黒雲	風	策略	妥協して少し前進する															バレた！むちゃくちゃ！	
58	ソードの8	upright	sword_8	ソード	濃霧	風	拘束	動かなければ未来は遠のく							わァ…			ちいかわが恐怖から抜け出そうとしている、がんばれ！						
58	ソードの8	reversed	sword_8	ソード	濃霧	風	拘束	思い出と妄想で動けない							動けない…ヤダーッ！			ちいかわが動けないでいる、焦るな						
59	ソードの9	upright	sword_9	ソード	深夜雨	風	不安	夜明けを待つしかない								不安乗り越える…ってコト！？								
59	ソードの9	reversed	sword_9	ソード	深夜雨	風	不安	ゆっくり解決へ向かう								悪夢続く…ってコト？								
60	ソードの10	upright	sword_10	ソード	吹雪	風	終焉	リセットしか方法がない															むちゃくちゃでも終わりだ！	
60	ソードの10	reversed	sword_10	ソード	吹雪	風	終焉	関係を切る必要はない															まだ終わらない！むちゃくちゃ！	
61	ソードのペイジ	upright	sword_page	ソード	稲妻	風	誘惑	魅力的だが厄介な存在								謎解き楽しい！ってコト！								
61	ソードのペイジ	reversed	sword_page	ソード	稲妻	風	誘惑	他にも選択肢がある								頭パンク…ってコト？								
62	ソードのナイト	upright	sword_knight	ソード	暴風	風	突進	自分から動いて新展開を作る								即決する！ってコト！								
62	ソードのナイト	reversed	sword_knight	ソード	暴風	風	突進	望まない知らせと向き合う								早まった…ってコト？								
63	ソードのクイーン	upright	sword_queen	ソード	冬晴れ	風	執念	どんなことをしても振り向かせたい								論理で見抜くってコト！								
63	ソードのクイーン	reversed	sword_queen	ソード	冬晴れ	風	執念	自分の気持ちがわからない								感情が邪魔…ってコト？								
64	ソードのキング	upright	sword_king	ソード	寒空	風	判断	守るものがあり相手を選べる													結論は出た			
64	ソードのキング	reversed	sword_king	ソード	寒空	風	判断	判断を保留する													判断が鈍っている			
37	カップの1	upright	cup_1	カップ	虹	水	愛情	今後に期待できる人間関係							大好きだよ…！			ちいかわが心をオープンにしている、いいぞ						
37	カップの1	reversed	cup_1	カップ	虹	水	愛情	期待できないので距離を置く							こわいよぉ…			ちいかわが怯えている、大丈夫だ						
38	カップの2	upright	cup_2	カップ	小雨	水	調和	互いに歩み寄って関係を築く												お揃いシーサー！				
38	カップの2	reversed	cup_2	カップ	小雨	水	調和	小さな幸せを選び現状維持												離れられないシーサー！				
39	カップの3	upright	cup_3	カップ	春雨	水	友情	気の合う楽しい仲間											みんなで食べよう！					
39	カップの3	reversed	cup_3	カップ	春雨	水	友情	プレッシャーを抱えながら続く仲間											飲みすぎだハァー！					
40	カップの4	upright	cup_4	カップ	曇り	水	不満	現状に不満を感じる													静かに考える…			
40	カップの4	reversed	cup_4	カップ	曇り	水	不満	思ったより悪くないと気付く													閉じこもりすぎだ			
41	カップの5	upright	cup_5	カップ	涙雨	水	喪失	終わったことは戻せない								泣いちゃった！								
41	カップの5	reversed	cup_5	カップ	涙雨	水	喪失	判断を保留する								もう信じない…ってコト？								
42	カップの6	upright	cup_6	カップ	木漏れ日	水	思い出	思い出を整理して前へ進む											昔みたいに遊ぼう！					
42	カップの6	reversed	cup_6	カップ	木漏れ日	水	思い出	未熟さや実力不足を感じる											過去にこだわりすぎだ					
43	カップの7	upright	cup_7	カップ	虹霧	水	幻想	理想や夢を見る									ヤハ！行きたいな！	うさぎがすべて欲しがっている、落ち着け						
43	カップの7	reversed	cup_7	カップ	虹霧	水	幻想	現実的に関われない									全部欲しい！止まらない！	うさぎが制御できない、焦るな						
44	カップの8	upright	cup_8	カップ	雨上がり	水	別離	静かに距離を置く							新しい場所へ行く！			ちいかわが新しい関係に進もうとしている						
44	カップの8	reversed	cup_8	カップ	雨上がり	水	別離	敗北を受け入れて現状維持							やっぱりこわい…			ちいかわがまた怯えている、大丈夫だ						
45	カップの9	upright	cup_9	カップ	快晴	水	満足	成功して報酬を得る														最高のご褒美なんだよォー！		
45	カップの9	reversed	cup_9	カップ	快晴	水	満足	納得できず相手に合わせる														まだ足りないんだよォー！		
46	カップの10	upright	cup_10	カップ	虹晴れ	水	幸福	決まった範囲の幸せを得る											幸せいっぱいハァー！					
46	カップの10	reversed	cup_10	カップ	虹晴れ	水	幸福	納得いかない環境を受け入れる											どこか足りないハァー！					
47	カップのペイジ	upright	cup_page	カップ	朝露	水	ときめき	未来へのときめき							ドキドキする…！			ちいかわが新しい気持ちになっている、がんばれ						
47	カップのペイジ	reversed	cup_page	カップ	朝露	水	ときめき	ときめきより実利を選ぶ							すぐ冷めちゃった…			ちいかわがすぐに怯えてしまった						
48	カップのナイト	upright	cup_knight	カップ	月虹	水	慎重	成長のため慎重に動く														ロマンスなんだよォー！		
48	カップのナイト	reversed	cup_knight	カップ	月虹	水	慎重	無茶をせず慎重に進む														目移りするんだよォー！		
49	カップのクイーン	upright	cup_queen	カップ	春雨	水	欲望	欲しいものを追い求める											守るよハァー！					
49	カップのクイーン	reversed	cup_queen	カップ	春雨	水	欲望	欲望のまま限界まで進む											抱え込みすぎハァー！					
50	カップのキング	upright	cup_king	カップ	凪	水	打算	利益のため愛想よく振る舞う								落ち着こうってコト！								
50	カップのキング	reversed	cup_king	カップ	凪	水	打算	放棄を前提に愛想よく振る舞う								コントロールできない…ってコト？								
65	ペンタクルの1	upright	pentacle_1	ペンタクル	芽吹き	地	開始	困惑を含む新生活の開始										いい種だ、大事に育てろ						
65	ペンタクルの1	reversed	pentacle_1	ペンタクル	芽吹き	地	開始	変化した環境に対応する										扱いが少し雑だな						
66	ペンタクルの2	upright	pentacle_2	ペンタクル	時雨	地	不安定	二つのことを両立する										うまく回せている、その調子だ						
66	ペンタクルの2	reversed	pentacle_2	ペンタクル	時雨	地	不安定	混乱を経て安定する										少し手が回っていないな						
67	ペンタクルの3	upright	pentacle_3	ペンタクル	春晴れ	地	変化	新しい関係へ進む											一緒に作ろうハァー！					
67	ペンタクルの3	reversed	pentacle_3	ペンタクル	春晴れ	地	変化	進展が停止する											適当すぎるハァー！					
68	ペンタクルの4	upright	pentacle_4	ペンタクル	曇り	地	執着	もったいなくて手放せない														これは俺のなんだよォー！		
68	ペンタクルの4	reversed	pentacle_4	ペンタクル	曇り	地	執着	必要性を感じなくなる														手放したくないんだよォー！		
69	ペンタクルの5	upright	pentacle_5	ペンタクル	雪	地	敗北	技術があっても苦しい状況								一緒に乗り越えるってコト！								
69	ペンタクルの5	reversed	pentacle_5	ペンタクル	雪	地	敗北	正しい方向へ戻したい								一人でいい…ってコト？								
70	ペンタクルの6	upright	pentacle_6	ペンタクル	木漏れ日	地	共存	持ちつ持たれつの関係												分け合うシーサー！				
70	ペンタクルの6	reversed	pentacle_6	ペンタクル	木漏れ日	地	共存	受け取る立場に甘んじる												欲張りすぎシーサー！				
71	ペンタクルの7	upright	pentacle_7	ペンタクル	秋晴れ	地	期待	収穫を待つ										いい頃合いだ、見極めろ						
71	ペンタクルの7	reversed	pentacle_7	ペンタクル	秋晴れ	地	期待	収穫の予定がない										少し焦りすぎているな						
72	ペンタクルの8	upright	pentacle_8	ペンタクル	霧雨	地	探求	個人的に深く考える										積み重ねが効いているぞ						
72	ペンタクルの8	reversed	pentacle_8	ペンタクル	霧雨	地	探求	現実的に関われない										まだ粗が残っているな						
73	ペンタクルの9	upright	pentacle_9	ペンタクル	快晴	地	豊かさ	悠々自適に暮らす														最高の環境なんだよォー！		
73	ペンタクルの9	reversed	pentacle_9	ペンタクル	快晴	地	豊かさ	働き続ける														満たされないんだよォー！		
74	ペンタクルの10	upright	pentacle_10	ペンタクル	虹晴れ	地	完成	契約や取引が成立する													完成度は高い			
74	ペンタクルの10	reversed	pentacle_10	ペンタクル	虹晴れ	地	完成	契約不成立													綻びが見えている			
75	ペンタクルのペイジ	upright	pentacle_page	ペンタクル	朝霧	地	宣言	宣言して相手を振り向かせる								学べばできるってコト！								
75	ペンタクルのペイジ	reversed	pentacle_page	ペンタクル	朝霧	地	宣言	宣言できず現状維持								うまくいかない…ってコト？								
76	ペンタクルのナイト	upright	pentacle_knight	ペンタクル	曇天	地	努力	激務でも着実に進む										着実に進んでいるぞ						
76	ペンタクルのナイト	reversed	pentacle_knight	ペンタクル	曇天	地	努力	重要度が下がる										少し重くなっているな						
77	ペンタクルのクイーン	upright	pentacle_queen	ペンタクル	春風	地	支援	サポート役として支える										よく整っている、いい管理だ						
77	ペンタクルのクイーン	reversed	pentacle_queen	ペンタクル	春風	地	支援	母性的に働き続ける										抱え込みすぎているな						
78	ペンタクルのキング	upright	pentacle_king	ペンタクル	秋晴れ	地	計画	長期計画で物事を進める													最適な状態だ			
78	ペンタクルのキング	reversed	pentacle_king	ペンタクル	秋晴れ	地	計画	結果を急ぐ													管理が偏っている			
