id,name,kana,weather,sky_name,emotion,emotion_type,meaning,chiikawa_line,hachiware_line,usagi_line,rarity,color,bgm,image
31,沢山咸,たくさんかん,曇り,淡恋空,心が惹かれ合う淡い空,恋情,通じた…,ほんとだ…,不思議だね,ン,R,plum,moon_touch.mp3,cloudy.jpg
32,雷風恒,らいふうこう,風,永風,変わらず巡る永風,継続,続いてる…,長いね…,続けよう,ウラ,R,leafgreen,storm_drive.mp3,wind.jpg
33,天山遯,てんざんとん,雪,夕闇,光が退いていく夕闇,退避,逃げるッ！,いいよ！,無理しないで,ダッシュ,R,indigo,hidden_path.mp3,snow.jpg
34,雷天大壮,らいてんたいそう,雷,雷光,勢いが爆発する雷光,躍動,いけるッ！,やろう！,進め！,ドン,SR,electric,breakthrough.mp3,thunder.jpg
35,火地晋,かちしん,晴れ,朝焼け,前へ進みたくなる朝焼け,前進,進んでる…,いいね…,順調だよ,トコトコ,R,coral,missing_piece.mp3,sunny.jpg
36,地火明夷,ちかめいい,雨,夜炎,光を隠して耐える夜炎,潜伏,つらい…,隠そう…,無理しないで,シーン,R,plum,darkness_flame.mp3,rain.jpg
37,風火家人,ふうかかじん,晴れ,暖灯,居場所を守る暖灯,家庭,ただいま…,おかえり！,安心だね,ゴロ,R,amber,family_light.mp3,sunny.jpg
38,火沢睽,かたくけい,雷,分裂空,すれ違いを生む分裂空,分離,なんで！？,ケンカ？,落ち着こう,ウラ？,R,purple,fire_split.mp3,thunder.jpg
39,水山蹇,すいざんけん,雪,雪雨,前に進めない雪雨,停滞,進めない…,止まってる…,迂回しよう,ン,R,snow,frozen_wall.mp3,snow.jpg
40,雷水解,らいすいかい,虹,雨上がり,重荷がほどける雨上がり,解放,助かったぁ！,よかった！,解決だね,ピョン,SR,azure,release_wind.mp3,rainbow.jpg
41,山沢損,さんたくそん,曇り,枯山,余分を削る枯山,削減,減らす…,いい判断だよ,軽くなるね,ポイ,SR,sand,happy_lake.mp3,cloudy.jpg
42,風雷益,ふうらいえき,風,春嵐,力が増していく春嵐,成長,分けっこ…,優しいね！,増えてるよ,ヤハ,SR,leafgreen,silent_spread.mp3,wind.jpg
43,沢天夬,たくてんかい,雷,閃光,決断を下す閃光,決意,決めたッ！,いいね！,進もう,ドン,SR,electric,grow_up.mp3,thunder.jpg
44,天風姤,てんぷうこう,風,突風,突然出会う突風,遭遇,なにこれ！？,出会ったね…,気をつけて,ン？,SR,teal,water_break.mp3,wind.jpg
45,沢地萃,たくちすい,曇り,湿雲,人や感情が集まる湿雲,集合,集まってる…,安心…,いいねぇ,ワイ,R,mist,destiny_meet.mp3,cloudy.jpg
46,地風升,ちふうしょう,晴れ,朝霧上昇,ゆっくり昇る朝霧上昇,上昇,上がってる…,順調！,いい感じ,ピョン,SR,moon,sky_rise.mp3,sunny.jpg
47,沢水困,たくすいこん,雨,深夜雨,心が塞がる深夜雨,困窮,もうムリ…,大丈夫？,耐えよう,ン…,R,indigo,gentle_wrap.mp3,rain.jpg
48,水風井,すいふうせい,風,湧水,内側から湧く湧水,循環,いつもの…,安心…,続いてるね,スー,R,teal,repeat_flow.mp3,wind.jpg
49,沢火革,たくかかく,雷,革命夕焼け,大きく変わる革命夕焼け,革命,変わるの！？,大丈夫だよ,変化だね,バン,R,coral,chaos_loop.mp3,thunder.jpg
50,火風鼎,かふうてい,晴れ,聖火,世界を整える聖火,完成,できた！,すごい！,完成だね,コト,R,gold,follow_star.mp3,sunny.jpg
51,震為雷,しんいらい,雷,爆雷,衝撃が走る爆雷,覚醒,びっくり！,大丈夫！？,急だね,ドカン,SSR,electric,shock_flash.mp3,thunder.jpg
52,艮為山,ごんいさん,雪,静山,動きを止める静山,静止,止まる…,休もう…,大事だよ,ピタ,R,gray,travel_moon.mp3,snow.jpg
53,風山漸,ふうざんぜん,風,渡り風,少しずつ近づく渡り風,漸進,ゆっくり…,いいね…,その調子,トコ,R,leafgreen,laugh_voice.mp3,wind.jpg
54,雷沢帰妹,らいたくきまい,雷,春雷恋空,揺れる春雷恋空,揺恋,変わった…,急だね…,慣れよう,ン,R,plum,slow_step.mp3,thunder.jpg
55,雷火豊,らいかほう,雷,夏雷,エネルギーが満ちる夏雷,充満,多すぎ！,すごいね…,調整しよ,ウラ,R,coral,silent_mountain.mp3,thunder.jpg
56,火山旅,かざんりょ,風,焚火夜,居場所を探す焚火夜,旅路,こわい…,ひとり？,大丈夫だよ,スタ,R,amber,wind_inside.mp3,wind.jpg
57,巽為風,そんいふう,風,透明風,静かに染み込む透明風,浸透,広がる…,いい感じ…,じわじわだね,スー,SR,teal,return_core.mp3,wind.jpg
58,兌為沢,だいたく,虹,水光,笑い合いたくなる水光,歓喜,楽しい…,うれしいね！,いいねぇ,ヤハ,R,azure,cycle_end.mp3,rainbow.jpg
59,風水渙,ふうすいかん,風,霧散,境界が溶ける霧散,拡散,バラバラ…,でも軽い…,流れたね,サラ,SR,mist,focus_light.mp3,wind.jpg
60,水沢節,すいたくせつ,雨,冷泉,自分を律する冷泉,節制,守る…,大事だよ,ルール守ろ,ピシ,SSR,snow,thunder_strike.mp3,rain.jpg
61,風沢中孚,ふうたくちゅうふ,虹,青風,心の奥を信じる青風,信頼,信じる…,伝わるよ！,いい関係だね,ン,R,azure,after_flame.mp3,rainbow.jpg
62,雷山小過,らいざんしょうか,雷,木霊雷,少しだけ行き過ぎる木霊雷,過敏,やりすぎた…,ちょっとね…,調整しよ,コツン,SR,leafgreen,joy_echo.mp3,thunder.jpg
63,水火既済,すいかきせい,晴れ,蒼炎,完成した静けさの蒼炎,完成,できた！,よかった！,でも油断なし,フー,R,purple,air_expand.mp3,sunny.jpg
64,火水未済,かすいびせい,雨,未明空,まだ終われない未明空,未完,終わらない…,あと少し！,がんばろ,ウラ,SSR,obsidian,unfinished_world.mp3,rain.jpg
